conf,supp,elapsed_time,rule_count
1.0,1.0,0.0007271766662597656,0
0.3,1.0,0.28638505935668945,110
0.03,1.0,4.250857353210449,4899
0.003,1.0,15.657408237457275,36504
0.0003,1.0,15.85212755203247,36504
1.0,0.2,0.0009570121765136719,0
0.3,0.2,0.3120598793029785,884
0.03,0.2,4.894521951675415,10667
0.003,0.2,17.800466537475586,45969
0.0003,0.2,17.594149827957153,45969
1.0,0.02,0.0007865428924560547,0
0.3,0.02,0.2708141803741455,884
0.03,0.02,5.148421049118042,11282
0.003,0.02,20.195414781570435,47024
0.0003,0.02,20.502135753631592,47024
1.0,0.002,0.0006854534149169922,0
0.3,0.002,0.3117232322692871,884
0.03,0.002,4.814706802368164,11282
0.003,0.002,20.8534996509552,48129
0.0003,0.002,21.25600004196167,48129
